Lien,Poste,Entreprise,Localisation,Type de Contrat,Salaire,Description,Nombre d'avis,Note Moyenne,Diplôme,Années d'expérience,Type de contrat,Temps de travail,Technologies,Langues,Industrie,Département
https://fr.indeed.com/viewjob?jk=1021737176a07f93,DÉVELOPPEUR DÉCISIONNEL ET BIG DATA F/H,CNAV,Hybrid remote,"Temps plein, CDI",NA,"CONTRAT :CDI
TEMPS DE TRAVAIL :Temps plein
EXPÉRIENCE :De 2 à 5 ans
NIVEAU D’ÉTUDES :Licence, Bac+3
Votre mission au sein de la Cnav
Au sein de la DSI, la Direction de la Gestion de la Donnée (DGD) prend en charge deux missions principales autour de la donnée : la qualité et la valorisation de la donnée. La qualité de la donnée est portée par le pôle « Data Qualité » avec lequel vous collaborerez. La préparation et la valorisation de la donnée est portée par le pôle « Data Factory ». Vous intégrerez le pôle Data Factory qui assure la réalisation d’une plateforme Data concentrant les données de la CNAV dans des buts décisionnels, data science et de services à valeurs ajoutées.

Dans le cadre de son développement autour de la « DATA », la DGD recherche un un data-engineer pour le traitement de données de masse.

Les missions confiées seront :
Prendre en compte les sources de données gérées par la Cnav concernant plus de 100 millions d’individus ;
Concevoir et réaliser les traitements de données en les nettoyant et les croisant avec d’autres sources de données;
Prendre en compte les règles de sécurité (RGPD) et produire des traitements d’anonymisation ;
Participer à l’amélioration des performances et les fonctionnalités de notre offre de service Big Data et notamment développer des extractions d'informations et d'alimentations de tableaux de bords.
Le saviez-vous ?
Rejoindre la CNAV, c'est intégrer le 1er acteur du système de retraite en France. Dans un secteur en pleine évolution, nous imaginons la retraite de demain : digitalisation de la relation avec les assurés, simplification des démarches, refonte SI, création d'un portail unique d'information pour les 35 régimes de retraite en France … C'est à tout cela que nous œuvrons !

L'accès au télétravail est possible pour tout nouvel embauché qui le souhaite après une période d’intégration. Plusieurs formules sont proposées : un télétravail régulier de 2 jours par semaine ou un télétravail occasionnel avec un forfait annuel de jours en télétravail.
Profil candidat
Cet emploi nécessite de :

Connaitre les subtilités du SQL ;
Avoir une bonne connaissance de langages objets de type Java ou Python pour des traitements de masse ;
Justifier d’une expérience en développement logiciel en équipe ;
Être curieux sur les évolutions dans un monde technologique évoluant sans cesse.

Ce serait un plus si les connaissances suivantes étaient connues :
L’outil de développement Talend pour certains traitements ;
Le Framework Spark ;
L’écosystème Hadoop ;
Connaissances BI : notamment sur SAP BI et Microsoft Power BI.",26,3.3,NA,NA,NA,NA,NA,NA,NA,NA
https://fr.indeed.com/viewjob?jk=cc390bd1046ebd3e,Développeur décisionnel et Big Data F/H,CNAV,Hybrid remote,CDI,NA,"Au sein de la DSI, la Direction de la Gestion de la Donnée (DGD) prend en charge deux missions principales autour de la donnée : la qualité et la valorisation de la donnée. La qualité de la donnée est portée par le pôle « Data Qualité » avec lequel vous collaborerez. La préparation et la valorisation de la donnée est portée par le pôle « Data Factory ». Vous intégrerez le pôle Data Factory qui assure la réalisation d’une plateforme Data concentrant les données de la CNAV dans des buts décisionnels, data science et de services à valeurs ajoutées.

Dans le cadre de son développement autour de la « DATA », la DGD recherche un un data-engineer pour le traitement de données de masse.

Les missions confiées seront : - Prendre en compte les sources de données gérées par la Cnav concernant plus de 100 millions d’individus ;


Concevoir et réaliser les traitements de données en les nettoyant et les croisant avec d’autres sources de données;
Prendre en compte les règles de sécurité (RGPD) et produire des traitements d’anonymisation ;
Participer à l’amélioration des performances et les fonctionnalités de notre offre de service Big Data et notamment développer des extractions d'informations et d'alimentations de tableaux de bords.

Le saviez-vous ?

Rejoindre la CNAV, c'est intégrer le 1er acteur du système de retraite en France. Dans un secteur en pleine évolution, nous imaginons la retraite de demain : digitalisation de la relation avec les assurés, simplification des démarches, refonte SI, création d'un portail unique d'information pour les 35 régimes de retraite en France … C'est à tout cela que nous œuvrons !

L'accès au télétravail est possible pour tout nouvel embauché qui le souhaite après une période d’intégration. Plusieurs formules sont proposées : un télétravail régulier de 2 jours par semaine ou un télétravail occasionnel avec un forfait annuel de jours en télétravail.

Cet emploi nécessite de :

Connaitre les subtilités du SQL ;
Avoir une bonne connaissance de langages objets de type Java ou Python pour des traitements de masse ;
Justifier d’une expérience en développement logiciel en équipe ;
Être curieux sur les évolutions dans un monde technologique évoluant sans cesse.

Ce serait un plus si les connaissances suivantes étaient connues :


L’outil de développement Talend pour certains traitements ;
Le Framework Spark ;
L’écosystème Hadoop ;
Connaissances BI : notamment sur SAP BI et Microsoft Power BI.

",26,3.3,NA,NA,NA,NA,NA,NA,NA,NA
https://fr.indeed.com/viewjob?jk=b06c8d340854d044,Data Engineer Azure H/F,Inetum,Orléans (45),CDI,NA,"Mission
Inetum région Centre, recherche un profil AZURE Data Engineer. Vos principales missions consistent à

Concevoir et mettre en oeuvre des solutions sur la plateforme Microsoft Azure pour la persistance, l’enrichissement et l’analyse de données
Conseiller sur différents types d’architecture Data lake et Data warehouse pour répondre au mieux aux besoins des clients dans le respect des politiques sécurités
Mettre en place les tests pour assurer la qualité des livrables et l’intégrité des données produites
Vous engager dans des projets clients, allant de la conception à la mise en œuvre de projets cloud (configuration, développements, documentations…)
Assurer le Rôle de conseil pour la mise en œuvre des bonnes pratiques
La mise en œuvre des stratégies de contrôle des coûts et recherche d’optimisations financières des services
La rédaction de dossier d’architecture technique et de dossier de spécifications techniques

Ce que nous allons vous apporter

La consolidation de vos connaissances par la formation et des certifications.

Profil
De formation supérieure en informatique, avec plusieurs années d'expériences.

Vous avez une bonne connaissance des technologies Azure et une expérience significative sur le Cloud Azure IAAS, PAAS

Vous démontrez d’excellentes compétences dans le relationnel avec les clients et en interne.

Vous êtes autonome et savez travailler en équipe.

Compétences techniques :

Expérience de développement Big Data,
Modélisation décisionnelle, en étoile (Datawarehouse, Datamart), en offrant des niveaux élevés de performance, de sécurité, d'évolutivité, de maintenabilité et de fiabilité de la solution Microsoft AZURE
Expérience sur l’intégration de données
Définition des indicateurs
Azure Data Factory, GitHub, Azure DevOps minimum 3 ans
Facultatif : Databricks
Organisation
Nous sommes une ESN agile et un groupe international. A l'ère de la post-transformation digitale, nous mettons tout en œuvre pour que chacun de nos 27 000 collaborateurs puisse se renouveler perpétuellement, en vivant positivement son propre flow digital. Chacun d'entre eux peut ainsi façonner son parcours de carrière selon ses appétences, entreprendre de manière pragmatique avec ses clients pour un monde plus positif, innover localement dans 26 pays et harmoniser son investissement professionnel et son bien-être personnel.
Rejoignez Inetum. Vivez votre flow digital positif.

Tous nos postes sont ouverts aux personnes en situation de handicap.
Pays
France
Emplacement
Orléans
Type de contrat
CDI",112,3,NA,NA,NA,NA,NA,NA,NA,NA
https://fr.indeed.com/viewjob?jk=55d593a56e066f12,Data Scientist Computer Vision (F/M/X) - CDI,Jellysmack,France,Temps plein,NA,"Jellysmack is the global creator company that detects and develops the world's most talented video creators on social media. We're an optimistic crew who naturally goes the extra mile, has a glass-half-full mindset, and sees challenges as opportunities. We look for positive people who think outside the box, are inventive, bold, lead change, and believe that teamwork matters.
Team culture:
Our job is to take numbers and turn them into reasons to celebrate! Data drives everything we do at Jellysmack and is thus essential to the company. Data is at the heart of our success, and it drives the content we create and how we edit videos so we can optimize everything we publish. Everyone on our team is capable of going above and beyond the call of duty. Our goal is to gather and analyze data to help the company grow. Do you have what it takes to be part of our team?
Your mission:
As a Data Scientist, you will be responsible for product development using data science, all in a strong spirit of collaboration. You will also participate in a guild made up of twelve data scientists (3 Phds, 3 Xs, 2 ENSs, 1 Supaeros, 1 Centrales...) to share knowledge. You will also have the opportunity to be a mentor for more junior profiles at the algorithmic level and work on our current Data Science projects- we already have over 40 algorithms in production.
Your tasks will include:
Understanding the business challenges of the squad and converting them into Data Science problems.
Setting up Deep Learning POCs and measuring the business impact.
Industrializing and deploying MVPs in production while ensuring quality throughout the process.
Supporting junior profiles, simplifying complex algorithms and playing a mentoring role within the Data team
Some examples of Computer Vision topics:
Automatic cropping of video into multiple aspect ratios
Extraction of topics from video content
Video analysis (content and metadata) to better understand user retention.
Automatic generation of video thumbnails
Automatic derush video
Jellysmack’s technical Stack:
Language : Python, C++, Julia (to be “re”-tested)
Databases : Aurora, Redshift, ElasticSearch on AWS
Librairies : Pandas, PyTorch, Tensorflow, Scikit-learn, SQLAlchemy,...
Visualisation : PowerBI, Plotly, Seaborn, bokeh
DevOps: Gitlab, Airflow, MLFlow, Docker
Environment : We use Pycharm, VSCode, VIM and Jupyter but we’re open to anything on any OS!
A little about you:
You have a Doctorate in Computer Science or a master's degree in Data Science. You have at least 2 years of audio processing experience.
Industrialization is important to you and you know how to push algorithms in production autonomously.
You like to share your knowledge and act as a mentor for the other members of the team.
You have a very good level of SQL (MySQL and PostgreSQL) and notions of NoSQL.
Our “Work from Anywhere” philosophy:
Jellysmack believes in a flexible work environment in which anyone can work from anywhere. This is why we’ve implemented our flexible location philosophy, meaning you get the best of both worlds: you can choose to work from home and / or from our offices in Paris, New York, Los Angeles and Corti.
In order to make sure you get the best working environment, you will get a EUR 250 allowance to get set up!
Nota bene: your residence must be in the country in which you are applying
Perks at Jellysmack:
Clubs (cooking, art, talks, sports)
Paid volunteering: 1 day dedicated to supporting a cause of your choice
Wellness (fitness, yoga, meditation)
Healthcare coverage
Daily meal vouchers
The Jellysmack difference:
Jellysmack’s story started in 2016, and since then, our unrivaled platform optimizes and distributes video content across social media platforms and allows creators to reach genuine new fans with zero effort.
We are the only company building the hyper-engaged communities that every creator dreams of because, first and foremost, we are creators too.
Currently home to over 420+ influential Creators, including Brad Mondo, Bailey Sarian, and Emmymade, Jellysmack optimizes, operates, and distributes creator-made video content to Facebook, Instagram, Snapchat, TikTok, Twitter, and YouTube. The company’s creator strategy builds upon its success in scaling its own original content channels in beauty (“Beauty Studio”), soccer (“Oh My Goal”), gaming (“Gamology”), and more.
Through the power of our data, we maximize reach and revenue so our creators can stay focused on their passion—creating the best content and entertaining fans around the world. We turn that passion into a brand and that brand into an empire.
Our commitment to diversity and inclusion
At Jellysmack, we believe that the best ideas come from the diverse cultures of our team members. Our commitment to inclusion across race, gender, age, religion, identity, and experience drives us forward every day. Creating a work culture that is safe and comfortable for our people to flourish is our main focus.
Ready to be part of a great human adventure? We’re dedicated to making the best working environment possible for our people. All you have to do is apply; we are ready to let you show off your talent!",24,4.2,NA,NA,NA,NA,NA,NA,NA,NA
https://fr.indeed.com/viewjob?jk=b5ea714d56461004,ANALYSTE DE DONNEES H/F,Mr Bricolage,La Chapelle-Saint-Mesmin (45),"Temps plein, CDI",NA,"ANALYSTE DE DONNEES H/F
Mr.Bricolage, groupe d’adhérents entrepreneurs indépendants, est le spécialiste français de la rénovation et de l’embellissement de la maison et du jardin.
Notre ambition : devenir le leader incontesté de la proximité ; être utiles à nos clients en leur apportant bien plus que des produits, et en faisant de nos magasins de véritables lieux de vie.
Sur un marché en perpétuelle évolution, nous avons la conviction que notre singularité est un élément majeur pour répondre aux évolutions des besoins, des usages et des modes de vie de nos clients. Nous poursuivons notre transformation digitale, en alliant le meilleur du e.commerce et du magasin physique.
Mr.Bricolage recherche un ANALYSTE DE DONNEES (h/f) en CDI pour son siège social situé à proximité d'ORLEANS (45).
Tu rejoins une équipe multidisciplinaire qui a pour objectif de collecter, transformer, stocker les données de l’entreprise (données de vente, données clients, magasins…) avant de les analyser et les restituer sous divers formats afin d’aider les différents domaines a une meilleure prise de décision.

Tes missions principales sont :Analyser nos données internes et externes pour découvrir des perceptions, observations sur le business afin de les exploiter (comportement client, impact campagnes, prévisions, ...)Accompagner les utilisateurs dans la phase de validationMettre en place et maintenir à jour la documentation (catalogue, WIKI, etc.)Veiller à l’homogénéisation et l’optimisation des données sur la DataParticiper ou organiser des ateliers métiers, recueillir et analyser des besoins intégrant des phases de data discovery
Participer à la construction et la mise en place de reportings/dashboard multiservices en mode agileAssurer une maintenance corrective et évolutive des dashboards existants

Profil souhaité
Tu es diplômé d'un Bac + 5 avec minimum 4 ans d’expérience professionnelle. Une première expérience dans le domaine de la Data Science est apprécié.
Tu es autonome, tu sais faire preuve de pédagogie et vulgariser la technique dans tes échanges oraux et écrits quel que soit ton interlocuteur.
Tu fais preuve de curiosité et d'empathie et sais t'adapter rapidement. Tu es rigoureux, dynamique et astucieux. Tu es autonome et apprécies le travail en équipe


Compétences techniquesAppétence pour la Data, ses languages ( SQL,R )
Connaissance de solutions de Reporting, Data Visualization/Smart BI et des principes de modélisations de flux (BO, Microstrategy, Power BI …)Connaissance des méthodes AgilesConnaissance ETL
3 bonnes raisons de nous rejoindre :
+ de 400 magasins en FranceUne aventure de 40 ans qui n’est pas prête de s’arrêterChaque collaborateur a un rôle essentiel dans la réussite de Mr.Bricolage
De notre côté, nous t’offrirons la liberté de construire ton projet pro et l’envie de te dépasser.
Derrière une grande marque il y a toujours une grande équipe ! Ce poste est fait pour toi alors clique sur « Postuler ».
Mr.Bricolage, nous avons de grands projets et vous en faites partie !
Cadre
CDI
Temps plein
LA CHAPELLE SAINT MESMIN (45)",536,3.3,NA,NA,NA,NA,NA,NA,NA,NA
https://fr.indeed.com/viewjob?jk=6ef64aeda29b11e6,Ingénieur en Technologie et Master Data (F/H),Essity,Gien (45),Temps plein,NA,"Ingénieur en Technologie et Master Data (F/H)
Qui sommes-nous
En France, avec 480 collaborateurs, l’usine Essity Gien est l’un des principaux sites du Groupe Essity en France. Chaque jour, près de 2,6 millions de rouleaux – papier toilette Lotus et essuie-tout Okay – et 7 millions de mouchoirs à la marque Lotus y sont fabriqués.
Dans le monde, Essity est un Group international d’hygiène et de santé. Nous développons, fabriquons et commercialisons des produits d’hygiène personnelle et d’essuyage papier avec des marques mondiales leaders sur le marché telles que TENA et Tork.
Nous comptons environs 48 000 employés à travers le monde et nos ventes sont effectuées et réparties dans 150 pays.
A propos du poste
Nous recherchons un(e) Ingénieur en Technologie et Master Data pour rejoindre notre équipe de technologie.
Nous sommes une équipe de 3 personnes en soutien de l'usine de Gien, centrée sur les besoins de l'ensemble du groupe.
L’Ingénieur en Technologie et Master Data sera responsable de la gestion des données : traiter et optimiser les données afin de les rendre disponibles de la meilleure façon possible à tous les différents types d'utilisateurs de l'usine.
Elle/Il devrait être capable de collecter des données des différents MES (Manufacturing Execution System) et de les analyser en utilisant l'intelligence artificielle telle que machine learning pour aider notre groupe à trouver des solutions aux problèmes existants.
Elle/Il sera également le Key-user de différentes applications et systèmes telles que : MES (Proficy / Plain / SAP), Excel (Macros VBA) et Microsoft Teams.
Elle/Il devrait également soutenir le développement de stratégies utilisant des technologies de contrôle et automation avancées pour réduire la variabilité des machines.
Ce que vous allez faireKey user des MES du site :
Est le référent pour le traitement des optimisations et anomalies lié à PROFICY / PLAIN / SAPGestion des données :
Collecte et analyse les données des différents MES
Synthétise les données dans des applications visuel (Power-bi)
Développe des applications pour le traitement des données en liens avec les indicateurs cibles du site (Power Platform Microsoft)
Participe à l’optimisation de la qualité produit ciblée sur l’analyse des données
Est key-user des applications VBA sous excel
Est propriétaire des différents TEAMS et assure leur maintenanceProjets de Digitalisation :
Effectue des analyses à l'aide de Machine Learning
Développe Contrôle Avancé à l’aide de Technologies – Machine Learning / Fuzzy Logic / MPC (Multivariable Predict Control) / Réseau neuronal
Qui êtes-vous ?
Formation supérieure BAC +5 : Ingénieur digitalisation ou master data ou équivalent
Expériences en milieu industriel de 5 ans minimum
Anglais courant, un bon niveau en Français serait un plus mais n'est pas obligatoire
Connaissance en : Power Platform (Power-apps, Power-automate, Power-bi), VBA Office, SQL, C++ / Python / Langage DAX, Analyse statistique SPC, Machine Learning, Automation et Contrôle industriel, PID et contrôle avancé : Fuzzy Logic & MPC
Vous êtes rigoureux et autonome et avez la capacité de communiquer efficacement
Ce que nous pouvons accomplir ensemble :
Nous croyons que le travail en équipe est l'ingrédient clé pour réussir ensemble. Chez nous, chacun a la liberté et l'autonomie de partager de nouvelles visions et stratégies. L'esprit d'innovation et la volonté d'accepter de nouveaux défis sont présents dans notre entreprise. L'optimisme et l'envie de grandir ensemble, c'est ce qui nous motive !
Nous avons de nombreux défis et des projets intéressants à faire ensemble.
Venez nous rejoindre et faire partie de l'évolution technologique de notre usine !
#LI-MC1
Together, we are improving lives, every day.
Working at Essity is not just a career; it is a chance to directly make the world a healthier, more hygienic and safer place. With impactful innovations coupled with sustainable solutions, we strive to reach more people every year with the necessary and essential solutions for well-being.
Application End Date:
17 Mar 2022",207,3.6,NA,NA,NA,NA,NA,NA,NA,NA
https://fr.indeed.com/viewjob?jk=c8af6487d3a6cbe3,Data Manager (usine),EATON,Nouan-le-Fuzelier (41),Temps plein,NA,"As a Data Manager:
Responsible for adding and amending all product data on the Company ERP system.
Facilitating the Engineering Change Control (ECC) process to ensure that new and changed Bills of Materials (BoM) and routings are accurate, fully comprehensive and completed in a timely manner.
Measure and audit / police data accuracy in order to achieve complete data accuracy.
Support the process of New Product Development, Introduction and End Life product to ensure full and timely completion to plan.
As this function is the arbitrator between demand and supply, looking to maximize customer satisfaction as best they can, which can involve balancing production loads, and taking account of material supplies, it is vitally important that this function remains customer focused.
Developing the necessary data management skills, disciplines and procedures throughout the Company in order to create a data accuracy process and culture.
Educating and training another resource to cover the Data Manager role.
Participating to the short term demand, linked with the Demand Manager.
The incumbent operates within the Engineering / Product Development team and interacts with Engineering, Manufacturing, Purchasing, Customer Service, Stores, Accounts, Quality, Product Manager and Marketing to ensure that the highest levels of data accuracy are created and maintained.
The role also plays a significant part in the S&OP process at the supply review step and therefore interacts with all functions within the organization and operates at a tactical / medium term time horizon as well as managing in the short term
Accountability to management for safety performance
Qualifications
Duration and type of Professional Experience :
3/5 years experience in a similar role in the industry.
Fluent in French & English
Experience with SAP mandatory
Personal capacities & skills :
Thinks and acts strategically
Gets results through self and others
Builds organizational capability
Demonstrates a leadership style
Define priorities
Knowledge of Bill of Material structures.
Understanding of the MRPII process and ERP systems.
Understanding of the Engineering Change Control (ECC) procedure
Understanding of the New Product Development & Introduction procedure
Product and manufacturing process knowledge is highly desirable
Strong communication and influencing skills.
Proactive approach to problem solving to ensure permanent solutions are fully implemented.
This position must possess an in-depth knowledge of MRPII, S&OP, ERP systems and JIT concepts.
#LI-AS1
What you will get from us
Eaton’s mission is to improve the quality of life and the environment through the use of power management technologies and services. We provide sustainable solutions that help our customers effectively manage electrical, hydraulic and mechanical power – more safely, more efficiently and more reliably. Making what matters work at Eaton takes the passion of every employee around the world. We create an environment where creativity, invention and discovery become reality, each day. It’s where bold, bright professionals like you can reach your full potential—and where you can help us reach ours. Eaton’s 2020 revenues were $17.9 billion, and we sell products to customers in more than 175 countries. We have approximately 85,000 employees.
We make work exciting, engaging and meaningful for our employees through our dedication to tackling some of the toughest power management challenges on the planet and by never losing sight of what matters. Our culture is built on a strong commitment to practicing our core values and supporting our employees with the tools they need to succeed. We pledge to always foster a diverse and inclusive environment, including inclusion resource groups that bring together employees who share a common purpose, interest or background. In the past year, our company has received top employment recognition by the Human Rights Campaign and almost fifty percent of our Board of Directors represented diverse groups. When we embrace the different ideas, perspectives and backgrounds that make each of us unique, we — as individuals and as a company — are stronger.
We have demonstrated our passion for sustainability with the recent announcement of cutting carbon emissions from the company’s operations by at least 50 percent by 2030. We are ethical, passionate, accountable, efficient, transparent and committed to learning. We are confident we can deliver on our promise to improve the quality of life and the environment because of the attributes that our employees embody.
We are committed to ensuring equal employment opportunities for all job applicants and employees. Employment decisions are based upon job-related reasons regardless of an applicant's race, color, religion, sex, sexual orientation, gender identity, age, national origin, disability, marital status, genetic information, protected veteran status, or any other status protected by law.
Job: Manufacturing & Operations
Region: Europe, Middle East, Africa
Organization: ES EMEA CS LS Life Safety
Job Level: Individual Contributor
Schedule: Full-time
Is remote work (i.e. working from home or another Eaton facility) allowed for this position?: No
Does this position offer relocation?: No
Travel: No",4652,3.7,NA,NA,NA,NA,NA,NA,NA,NA
https://fr.indeed.com/viewjob?jk=f4faf36bbce2cda4,Data analyst campagne publicitaire Pinterest à Lisbonne (f/h/x),Teleperformance Portugal,France,Temps plein,NA,"Vous êtes francophone, passionné par le marketing digital et avez un esprit analytique ? Travaillez avec Pinterest et lancez-vous dans ce nouveau défi !
En tant qu’analyste publicitaire, votre rôle sera d'analyser les données des campagnes marketing numérique de notre client dans le but d’optimiser leur profit.
Vous travaillerez sur le marché français et contribuerez à créer une meilleure expérience pour les utilisateurs. Êtes-vous prêt ?
Notre Client
Pinterest constitue le meilleur moteur de recherche visuelle dans le monde utilisé par plus de 300 millions de personnes. C'est une plateforme de partage d'idées et de créativité et aussi, l'endroit idéal pour trouver les produits et les marques les plus innovants, trouver l'inspiration et rêver.
ResponsabilitéAnalyse des données et rapport sous Excel;Développement de présentations PowerPoint;Assurer l'optimisation des campagnes marketing.
Votre ProfilParfaite maîtrise de la langue française à l’écrit et à l’oral;Niveau d'Anglais intermediaire obligatoire;Compréhension des données analytiques ;Solides compétences Excel;Compétences en communication et relations interpersonnelles;Disponibilité immédiate.
Notre Offre
Carrière internationale dans un environnement multiculturel;Excellente opportunité de travailler avec une marque hautement renommée ;Formation professionnelle ;Bonus de vacances et de Noël;Assurance maladie privée;Possibilité de vivre dans un appartement Teleperformance, en colocation;Remboursement des frais de vol initiaux;Vol annuel gratuit vers votre pays d'origine (en Europe);Repas sains gratuits dans les cafétérias, tels que soupe, pain, salade et fruits;Cours de langue et activités gratuits, tels que sports nautiques, randonnées et bien plus encore.",30578,3.5,NA,NA,NA,NA,NA,NA,NA,NA
https://fr.indeed.com/viewjob?jk=0d1b785311a47fa3,Chef de Projet Informatique Décisionnel et Intégration de données (H/F),St Michel,41700 Contres,CDI,NA,"En pleine croissance, St Michel est une entreprise familiale et indépendante depuis 1905, reconnue pour son savoir-faire français de recettes authentiques.

St Michel fait partie des acteurs majeurs en France sur le marché de la pâtisserie, de la biscuiterie et du prêt à garnir, propose une gamme de biscuits, madeleines, crêpes, Cocottes, et autres gâteaux. Nous intervenons à travers un portefeuille de marques à forte image : St Michel, Bonne Maman, Jean Ducourtieux. Nous sommes également un acteur important en Marque de Distributeur.

La réussite de l’entreprise s'appuie sur la qualité de ses produits, une innovation constante, l'implication et le dynamisme de ses équipes.

St Michel emploie 1800 personnes réparties sur 8 sites industriels.
Dans le cadre de l’évolution de notre système d’information vers SAP S4/HANA, vous assurez sur votre périmètre le bon fonctionnement et l’évolution du système d’informations de St Michel, et vous êtes en charge de mettre en place les applications permettant d’optimiser les flux d’informations.

Rattaché au Responsable Systèmes d’information, vos missions sont les suivantes :

Sur les outils Décisionnels de l’entreprise (BO, BW SAP, Cognos) et sur l’ETL (Talend principalement) :

Vous êtes garant du bon fonctionnement des systèmes en place et en assurez le support (analyse, résolution d’incidents).
Vous analysez les cahiers des charges et étudiez les besoins métiers.
Vous rédigez les spécifications fonctionnelles et techniques.
Vous réalisez ou supervisez les développements par nos intégrateurs.
Vous assurez les mises en production.

Des connaissances en gestion commerciale (gestion des commandes, facturation, prévisions commerciales) seraient un plus pour être en support de l’équipe de déploiement SAP.

Poste en CDI à pourvoir dès que possible, basé en région Centre à Contres (41700 ; 20 min de Blois et 1h de Tours et d’Orléans).

Permis B et véhicule indispensables.
De niveau master ou ingénieur en systèmes d'information, vous avez une expérience d’au moins 5 ans en milieu industriel / produits de grande consommation, soit directement en industrie ou grande distribution, soit chez un intégrateur ou dans une SSII.

Vous êtes expert sur les outils décisionnels type BO, BW SAP, Cognos, et vous possédez une excellente connaissance et maitrise de l’ETL Talend.

Postulez ! Promis, on ne vous mangera pas.",24,3.2,NA,NA,NA,NA,NA,NA,NA,NA
https://fr.indeed.com/viewjob?jk=1f2e1fa56a228be0,CONSULTANT BIG DATA H/F,Umanis,Tours (37),Temps plein,NA,"Vous souhaitez rejoindre une ESN en constante évolution ? Qui met en avant le bien-être de ses collaborateurs et vous accompagnera dans un projet de carrière sur le long terme ?
Certifiée TOP EMPLOYER 2021 et historiquement reconnue pour notre expertise DATA, nous avons su grâce à de nombreux partenariats stratégiques et notre communauté d'experts, diversifier nos offres
Depuis 30 ans, nous accompagnons nos clients sur l’ensemble de leurs projets métiers et IT. Nous sommes avant tout une entreprise qui se réinvente chaque jour, reconnue pour notre capacité d'innovation et notre dynamisme.
Si vous êtes à la recherche d’une entreprise qui vous fera monter en compétence tout en vous assurant un suivi régulier et personnalisé alors nous sommes faits pour vous !
Umanis c’est quoi ?
3000 collaborateurs, 23 agences en France, 4 agences à l’international
5 domaines d’expertise : data, digital, infra/ cloud, solutions métier, BPO
4 valeurs : convivialité, excellence, responsabilité, respect
Notre avenir c’est vous !
Pour en savoir plus, cliquez sur le lien suivant : https://www.youtube.com/watch?v=CVZHcttGuSQ
CONSULTANT BIG DATA H/F TOURS
Dans le cadre du développement de notre activité, nous recherchons CONSULTANT BIG DATA H/F pour intervenir auprès de nos clients dans la région de Tours. Venez vivre une aventure à taille humaine en rejoignant notre équipe de consultants.
 Vos missions :
Concevoir et développer des applications Big Data
Intégrer des flux de données dans un Data Lake
Transformer et préparer des données en mode batch
Traiter des évènements en temps réel
Automatiser et orchestrer des chaines de traitements
Analyser des données
Suivre la production et la maintenance des chaines de traitements
Rédiger des tests fonctionnels et des tests d’acceptance
Estimer la charge des tâches et participer aux Pocker plannings
Conseiller et éclairer le client sur les enjeux liés aux architectures et aux technologies Big Data
 Environnement technique :
Développement : Scala, Sbt, Java

Infrastructure : Docker, Kafka, Vmware, Dc/Os, Freeipa

Applicatif : Akka, Kafka, Cats, Api Rest, Elasticsearch, Rocksdb, Spark, Mesos, Couchbase, Hadoop/Hdfs, Hive, Postgresql, Impala

Outils : Git, Jenkins, Nexus, Promotheus, Grafana, Ansible

Data visualisation : Kibana (Elk), Tableau

Data Exploration : Dataiku, Zeppelin
 Votre profil :
Vous disposez d’une expérience d’au moins 3 ans sur un poste de CONSULTANT BIG DATA H/F .
Vous êtes un(e) expert en développement Python, Scala, Javascript & maîtrisez les technologies du Big Data comme Hadoop, Spark ...
Vous avez de solides connaissances de bases de données SQL, No SQL ...
Vous savez manipuler la données et en utiliser les outils : ETL, intégration et Dataviz
Vous êtes dynamique, autonome, aimez le travail en équipe ? Alors rejoignez-nous chez Umanis !
 Rejoindre Umanis, c’est :
Des suivis réguliers avec votre référent(e) RH et commercial(e)
Un accès à une plateforme avec plus de 600 formations disponibles dès votre arrivée
Des communautés d’ experts
Un parcours excellence Agile devops
Un programme de Mécénat de Compétences
Un engagement auprès des travailleurs en situation de handicap
Une mobilité interne facilitée
Des afterworks mensuels
Prêt à en discuter ?!",57,2.9,NA,NA,NA,NA,NA,NA,NA,NA
https://fr.indeed.com/viewjob?jk=1e1a32ecdd155b32,Data Analyst H/F,Acii,Tours (37),NA,NA,"Dans le cadre d'un renforcement de l'équipe, nous recrutons pour l'un de nos clients basé à Tours, un Data Analyst H/F.
Vous travaillez au sein d'une équipe Scrum, en collaboration les équipes de développements.Votre profil :- Première expérience idéalement ciblée sur l'analyse de la donnée et de sa restitution.- Fort esprit d'analyse, de synthèse et compréhension des enjeux métiers.- Impliqué sur la rigueur des livrables et de leurs contenus.- Maîtrise des bases de données et des langages SQL- Maîtrise Outil SAS
Les responsabilités
Venir en appui des équipes en place pour traiter les demandes d'extraction de données et/ou d'évolutions de traitements existants formulées par les diverses directions métiers ;
Analyser la demande préalablement à son traitement ;
Développer Les requêtes en SQL et/ou via des programmes SAS ;
Concevoir les livrables qui sont destinés à toutes les fonctions de l'entreprise. Ils peuvent nécessiter la mise en œuvre de contrôles techniques et fonctionnels ainsi que des échanges avec les métiers.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
